stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.09671] al_display->vt=00f7e618
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.09767] PathFindOnPath failed to find d3dx9_43.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.09846] PathFindOnPath failed to find d3dx9_42.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.09936] PathFindOnPath failed to find d3dx9_41.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10009] PathFindOnPath failed to find d3dx9_40.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10082] PathFindOnPath failed to find d3dx9_39.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10154] PathFindOnPath failed to find d3dx9_38.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10228] PathFindOnPath failed to find d3dx9_37.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10303] PathFindOnPath failed to find d3dx9_36.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10403] PathFindOnPath failed to find d3dx9_35.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10484] PathFindOnPath failed to find d3dx9_34.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10573] PathFindOnPath failed to find d3dx9_33.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10682] PathFindOnPath failed to find d3dx9_32.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10813] PathFindOnPath failed to find d3dx9_31.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10903] PathFindOnPath failed to find d3dx9_30.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.10989] PathFindOnPath failed to find d3dx9_29.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11063] PathFindOnPath failed to find d3dx9_28.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11138] PathFindOnPath failed to find d3dx9_27.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11212] PathFindOnPath failed to find d3dx9_26.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11280] PathFindOnPath failed to find d3dx9_25.dll
system   W            wsystem.c:894  _al_win_safe_load_library        [   0.11347] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.11353] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.11363] added dtor for queue 0272a518, func 728762a7
dtor     D               dtor.c:196  _al_register_destructor          [   0.11369] added dtor for bitmap 0272a598, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11437] added dtor for bitmap 02744a20, func 72851ca6
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11580] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11585] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11588] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11592] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11596] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11599] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11603] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11606] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11610] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.11615] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.11618] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.11622] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.11626] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.11661] added dtor for bitmap 0275eb00, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11724] added dtor for sub_bitmap 02792278, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11732] added dtor for sub_bitmap 02792400, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11736] added dtor for sub_bitmap 02792588, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11740] added dtor for sub_bitmap 02792710, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11744] added dtor for sub_bitmap 02792898, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.11750] added dtor for sub_bitmap 02792a20, func 72851ca6
