stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Projects\AllegroBoilerplate\bin\allegro5.cfg r
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11917] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11920] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.11923] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.11927] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.11930] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.11934] Found a format
d3d      I         d3d_disp.cpp:2388 d3d_create_bitmap                [   0.11937] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.11974] added dtor for bitmap 027509a0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12026] added dtor for sub_bitmap 02784118, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12033] added dtor for sub_bitmap 027842a0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12037] added dtor for sub_bitmap 02784428, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12040] added dtor for sub_bitmap 027845b0, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12044] added dtor for sub_bitmap 02784738, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12048] added dtor for sub_bitmap 02784ac8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12052] added dtor for sub_bitmap 02784c50, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12056] added dtor for sub_bitmap 02784dd8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12060] added dtor for sub_bitmap 02784f60, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12064] added dtor for sub_bitmap 027850e8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12068] added dtor for sub_bitmap 02785270, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12072] added dtor for sub_bitmap 027853f8, func 72851ca6
dtor     D               dtor.c:196  _al_register_destructor          [   0.12075] added dtor for sub_bitmap 02785580, func 72851ca6
